State,County,Under5yrsPopulation_total ,Under5yrsPopulation_female,t5to17yrsPopulation_total,t5to17yrs_Female,t18to24yearsPopulation,t18to24yrs_Female,t25to34yrs_Population,t25to34years_Female,t35to44yrs_Population,t35to44yrs_Female,t45to64yrs_Population,t45to64yrs_Female,t65to84years_Population,t65to84yrs_Female,t85to99yrs_Population,t85to99yrs_Female,t100_years_and_Over_Population,t100yrs_and_over_Female
Kentucky,Lawrence County,890,414,2876,1391,1136,543,1788,889,2085,1085,4586,2339,2717,1437,214,136,1,0
Kentucky,Lee County,381,190,1001,465,481,219,1023,346,1061,393,2092,943,1224,632,132,92,0,0
Kentucky,Leslie County,513,248,1757,831,724,351,1189,596,1299,678,3124,1616,1757,938,149,92,1,0
Kentucky,Letcher County,1101,513,3495,1659,1483,699,2342,1168,2724,1390,6191,3189,3900,2063,307,189,5,5
Kentucky,Lewis County,756,349,2376,1173,1005,513,1375,681,1519,796,3647,1822,2187,1184,214,134,1,0
Kentucky,Lincoln County,1488,695,4211,2023,1779,825,2633,1317,2756,1433,6768,3419,4214,2279,423,273,3,3
Kentucky,Livingston County,415,201,1344,658,563,289,909,459,913,450,2681,1363,1915,989,147,102,1,1
Kentucky,Logan County,1773,867,4681,2271,2161,1045,3182,1578,3283,1641,7292,3714,4549,2480,509,318,2,1
Kentucky,Lyon County,237,124,926,453,501,224,1053,349,1129,396,2670,1204,1965,972,198,124,1,0
Kentucky,McCracken County,3776,1896,11041,5395,4931,2407,8019,4200,8396,4308,17928,9204,12191,6756,1580,1045,13,13
Kentucky,McCreary County,997,493,2863,1393,1274,590,2175,856,2210,855,4573,2104,2591,1381,200,119,5,4
Kentucky,McLean County,492,240,1569,756,689,327,905,456,1043,540,2494,1239,1765,932,193,126,2,2
Kentucky,Madison County,5106,2474,14250,7035,14386,7724,11962,5810,11050,5602,22095,11495,12496,6781,1346,875,10,10
Kentucky,Magoffin County,598,296,1884,890,856,418,1243,643,1432,720,3427,1749,2009,1086,184,111,4,2
Kentucky,Marion County,1186,581,3494,1750,1591,733,2182,1087,2443,1178,5291,2624,2992,1594,401,303,1,1
Kentucky,Marshall County,1605,736,4929,2408,2172,1062,3264,1618,3548,1780,8963,4542,6461,3386,712,440,5,5
Kentucky,Martin County,536,254,1688,785,816,393,1704,519,1662,596,2993,1447,1736,908,152,100,0,0
Kentucky,Mason County,955,464,2920,1405,1305,633,2033,1026,1857,959,4708,2476,3025,1634,315,215,2,1
Kentucky,Meade County,1880,924,5778,2821,2422,1187,3609,1826,3830,1884,8237,4178,3958,1997,288,185,1,0
Kentucky,Menifee County,350,163,1044,521,383,175,599,290,683,337,1802,913,1120,591,131,89,1,1
Kentucky,Mercer County,1270,606,3737,1824,1699,837,2479,1257,2540,1292,6419,3218,4050,2198,441,296,6,6
Kentucky,Metcalfe County,632,302,1787,835,753,366,1115,536,1210,607,2836,1425,1757,917,195,114,1,1
Kentucky,Monroe County,749,364,1919,867,887,422,1145,590,1362,652,3069,1530,1989,1071,207,147,11,8
Kentucky,Montgomery County,1697,855,4906,2375,2309,1121,3424,1730,3532,1785,7481,3866,4305,2399,456,321,4,3
Kentucky,Morgan County,685,326,2148,979,988,389,1879,600,1911,727,3884,1770,2030,1046,201,125,0,0
Kentucky,Muhlenberg County,1749,856,4919,2341,2596,1179,3577,1576,3832,1815,8188,4046,5468,2953,592,397,7,5
Kentucky,Nelson County,2760,1320,8229,3935,3529,1748,5576,2796,5844,2943,12787,6495,7260,3893,751,489,2,2
Kentucky,Nicholas County,446,234,1405,680,534,256,775,375,857,446,2108,1042,1270,690,142,89,0,0
Kentucky,Ohio County,1448,676,4373,2123,1811,869,2589,1293,2906,1460,6159,3162,4060,2064,418,279,8,3
Kentucky,Oldham County,3555,1776,14522,7182,4831,2168,6216,2813,9859,4637,19046,9084,8915,4534,649,402,14,13
Kentucky,Owen County,655,336,2090,1036,877,431,1111,568,1340,674,3141,1565,1867,935,191,118,6,5
Kentucky,Owsley County,227,103,638,305,273,130,422,203,463,239,1148,602,790,416,89,40,1,0
Kentucky,Pendleton County,907,422,2543,1215,1225,544,1651,818,1533,792,4376,2150,2197,1131,210,140,2,1
Kentucky,Perry County,1566,779,4655,2278,2172,1014,3293,1687,3674,1884,8204,4225,4527,2396,369,225,13,8
Kentucky,Pike County,2938,1477,9138,4503,4833,2361,6316,3143,7302,3605,16982,8723,10191,5493,964,652,5,4
Kentucky,Powell County,745,370,2337,1113,1033,507,1482,719,1747,856,3605,1762,1990,1074,188,119,2,2
Kentucky,Pulaski County,3663,1754,10736,5163,4746,2323,7384,3732,7599,3853,17749,9157,11798,6342,1350,895,9,7
Kentucky,Robertson County,127,68,339,163,143,72,201,105,229,118,664,316,432,231,57,39,1,0
Kentucky,Rockcastle County,861,392,2624,1329,1136,548,1733,869,1831,949,4740,2376,2822,1533,290,179,0,0
Kentucky,Rowan County,1301,632,3546,1676,5124,2826,3000,1432,2669,1353,5422,2804,3257,1796,330,192,13,13
Kentucky,Russell County,1046,496,3068,1494,1224,613,1940,1023,1950,998,5093,2590,3311,1716,357,234,2,0
Kentucky,Scott County,3655,1712,10884,5416,5269,2617,7822,3894,7898,4071,14310,7285,6687,3628,625,407,5,4
Kentucky,Shelby County,2996,1463,8708,4187,3708,1789,5836,3083,6117,3235,12805,6655,7234,3901,657,414,4,4
